Date,Open,High,Low,Close,Adj Close,Volume
2019-05-28,283.089996,284.149994,280.130005,280.149994,278.794037,70029400
2019-05-29,278.910004,279.359985,276.709991,278.269989,276.923126,104972900
2019-05-30,279.109985,280.040009,277.809998,279.029999,277.679443,62523800
2019-05-31,276.200012,277.119995,275.239990,275.269989,273.937653,86862800
2019-06-03,275.309998,276.549988,273.089996,274.570007,273.241058,96428000
2019-06-04,277.119995,280.679993,276.619995,280.529999,279.172211,77231900
2019-06-05,282.329987,282.989990,280.320007,282.959991,281.590424,71169700
2019-06-06,283.290009,285.549988,282.570007,284.799988,283.421509,69430400
2019-06-07,285.929993,288.850006,285.739990,287.649994,286.257721,74272200
2019-06-10,289.369995,290.820007,288.869995,288.970001,287.571350,60799100
2019-06-11,290.989990,291.399994,288.179993,288.899994,287.501678,58641300
2019-06-12,288.640015,289.260010,287.820007,288.390015,286.994171,47096300
2019-06-13,289.399994,289.980011,288.619995,289.579987,288.178375,48945200
2019-06-14,289.260010,289.929993,288.410004,289.260010,287.859955,52324700
2019-06-17,289.519989,290.220001,289.179993,289.369995,287.969391,39205700
2019-06-18,291.390015,293.570007,290.989990,292.399994,290.984741,85434800
2019-06-19,292.549988,293.649994,291.470001,293.059998,291.641541,78674400
2019-06-20,296.040009,296.309998,293.130005,295.859985,294.427979,116570000
2019-06-21,294.130005,295.519989,293.760010,294.000000,294.000000,83309500
2019-06-24,294.230011,294.579987,293.470001,293.640015,293.640015,47582700
2019-06-25,293.700012,293.730011,290.640015,290.760010,290.760010,82028700
2019-06-26,291.750000,292.309998,290.350006,290.470001,290.470001,51086700
2019-06-27,291.309998,292.059998,290.920013,291.500000,291.500000,34971189
